,Unnamed: 0,Date,Time(s),Height,LWC,LWC_sd,Mean_Doppler_Velocity,Mean_Doppler_Velocity_sd,Spectral_width,Spectral_width_sd,Reflectivity,Reflectivity_sd,Extinction,Temperature,CCN,T(K),"CDC_pinsky,k=0.3","Smax,k=0.3","CDC_pinsky,k=0.4","Smax,k=0.4","CDC_pinsky,k=0.5","Smax,k=0.5","CDC_pinsky,k=0.6","Smax,k=0.6","CDC_pinsky,k=0.7","Smax,k=0.7","CDC_pinsky,k=0.8","Smax,k=0.8","CDC_pinsky,k=0.9","Smax,k=0.9","CDC_pinsky,k=1.0","Smax,k=1.0",CDC_Fan
115,115,20110514,24300.0,1050.0,0.21495625,0.07896643,0.063498974,0.5896378999999999,0.26569232,0.09858459,-38.89893,2.9210749,53.77214050292969,1.7930011749267578,355.0580139160156,274.9530011749268,303.7478294439692,0.5943553995491768,290.8597998252384,0.6073806523024408,279.48633404818645,0.6196158455207564,269.38288605615855,0.6311285163103015,260.3537952059018,0.6419790380553757,252.24083879681427,0.6522214883212818,244.91481931210058,0.661904405974129,238.26929639275383,0.6710714504506676,420.61216877208517
116,116,20110514,24900.0,1050.0,0.28724054,0.105696,0.08657527,0.5430045,0.2980277,0.10150993,-37.597429999999996,2.7206092,63.46539306640625,1.7376492023468018,355.0580139160156,274.8976492023468,322.9039964747048,0.7287529667369914,314.5008195371333,0.7384245977879851,306.96317193058394,0.7474358231617797,300.1657871856901,0.7558514505719339,294.00619574364254,0.7637281607897723,288.39980915501883,0.771115728462925,283.2762149199264,0.7780580321562813,278.5763498156796,0.7845938942292773,387.2839208575094
117,117,20110514,25500.0,1050.0,0.2882659,0.08818623,0.23518506,0.53335124,0.2916667,0.1000631,-36.162205,2.4639735000000003,79.18399810791016,1.7124342918395996,355.0580139160156,274.8724342918396,392.7262723771523,1.399486735840155,403.8815562029554,1.3800243640716658,414.4240602015311,1.3623581172059493,424.399691985175,1.3462516057977998,433.8503641191859,1.3315080033235673,442.8143281808161,1.3179621310645546,451.32649837157675,1.3054743644520428,459.41875706966806,1.2939258911596847,746.854064616916
118,118,20110514,26100.0,1050.0,0.34842512,0.10680598,-0.086012125,0.48532444,0.27534354,0.08271109,-34.718937,2.2780292,93.0286865234375,1.719631910324097,335.3500061035156,274.8796319103241,306.9195434731813,0.7443103929850575,299.4590095266925,0.753524995503216,292.75559028452614,0.7621031497155747,286.70108200385584,0.7701080958361181,281.2067579189862,0.7775950338351542,276.1992089452757,0.7846123500202954,271.61719980965415,0.7912026280743616,267.4092642152111,0.7974034869486999,828.975630938328
119,119,20110514,26700.0,1050.0,0.46006778,0.113433786,0.038288657000000004,0.40441805,0.2887403,0.08889184,-33.697502,1.9890866000000003,98.95172119140624,1.7478775978088381,321.3166809082031,274.90787759780886,252.3474406850641,0.4469086640184139,235.96656417975805,0.4621606783218369,221.83696163214128,0.47665183827324364,209.54637876210845,0.49043126245765795,198.77420389423605,0.5035449154953692,189.26793252189591,0.5160356520967487,180.8264038840951,0.5279433254837008,173.28767138207525,0.5393049339744107,572.1849531343734
120,120,20110514,27300.0,1050.0,0.2157976,0.071502656,0.08531801,0.5293686,0.2580831,0.09012142599999999,-40.012505,3.005547,109.5863037109375,1.7760348320007324,304.6000061035156,274.93603483200076,281.7028701523196,0.7706748983890288,275.65372968761716,0.7790851263879289,270.20331076201074,0.7869035720273196,265.2678569948331,0.7941902211757601,260.7784090740047,0.800997266504388,256.6776969633223,0.8073703249517133,252.91777954681453,0.8133494355125729,249.45823101812744,0.8189698818763363,3532.5281249175546
121,121,20110514,27900.0,974.9999389648438,0.2076012,0.062752314,0.061479997,0.53935575,0.2593238,0.0834732,-39.49243,2.6812901,33.387943267822266,1.7456653118133545,304.6000061035156,274.9056653118134,264.28311639453034,0.6229669957250971,254.0630490816279,0.6353733507812604,245.0100085748516,0.6470052960764209,236.9399401398537,0.6579313960917316,229.70485344647986,0.6682126031498171,223.1845236992188,0.6779032411961976,217.2803588263047,0.6870518501522305,211.91080635342314,0.6957019110544836,107.94916679361167
122,122,20110514,28500.0,974.9999389648438,0.22209941,0.068468444,-0.17237967,0.47940946,0.26949870000000004,0.08536973,-38.809155,2.4620545,36.91841506958008,1.7579278945922852,304.6000061035156,274.9179278945923,323.3138619639768,1.2198732980449878,328.7132565926044,1.2098130872387858,333.7603031743971,1.2006309848982826,338.48786840367814,1.192217064575258,342.92492994430745,1.1844789809720837,347.09712206471323,1.1773385955886382,351.0271945880401,1.1707293497797453,354.73540017919316,1.1645941991827786,127.51003000897121
123,123,20110514,29100.0,974.9999389648438,0.2540085,0.06778636,-0.06522249,0.57674426,0.29090577,0.09921351,-37.97184,2.042903,40.29686737060547,1.7282226085662842,304.6000061035156,274.8882226085663,267.39911664851985,0.6477889493896236,257.8968847680517,0.6596149209966053,249.4533461201034,0.6706853998886434,241.90488034672154,0.6810691427975233,235.11937742318676,0.6908270074467981,228.98909579344453,0.7000130205149651,223.42535956533948,0.7086752840855076,218.35456940359532,0.7168567466455976,126.7731761197115
124,124,20110514,29700.0,974.9999389648438,0.24064964,0.07014538,-0.090846725,0.5602239,0.29811054,0.11810875,-38.128452,2.5039852000000002,40.20392227172852,1.662477970123291,277.45999145507807,274.8224779701233,263.23007443462956,0.8390421786852852,259.4084722745372,0.845199961611827,255.94161941165567,0.8509050279946293,252.78258529013505,0.8562054167740392,249.89233023245254,0.8611426184479989,247.23812013148844,0.865752651418049,244.7923073590869,0.8700669333200927,242.53138311908393,0.8741129913800594,140.26355900747058
